batch_size,epoch,exp,loss,lr,metric,normalization,pretrained,train_mode,train_type
40.0,48.0,0.0,0.1035561818968166,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,49.0,0.0,0.10026168160968357,0.0001,0.0,1.0,1.0,train,pretrain
40.0,49.0,0.0,0.10210907865654338,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,50.0,0.0,0.09641818181862907,0.0001,0.0,1.0,1.0,train,pretrain
40.0,50.0,0.0,0.09501126408576965,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,51.0,0.0,0.09273081533019505,0.0001,0.0,1.0,1.0,train,pretrain
40.0,51.0,0.0,0.09337592869997025,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,52.0,0.0,0.08939912726008703,0.0001,0.0,1.0,1.0,train,pretrain
40.0,52.0,0.0,0.08891917291012677,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,53.0,0.0,0.08590077159423677,0.0001,0.0,1.0,1.0,train,pretrain
40.0,53.0,0.0,0.08664224296808243,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,54.0,0.0,0.08276632972179897,0.0001,0.0,1.0,1.0,train,pretrain
40.0,54.0,0.0,0.08313254741105167,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,55.0,0.0,0.08034759606160814,0.0001,0.0,1.0,1.0,train,pretrain
40.0,55.0,0.0,0.08176043426448648,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,56.0,0.0,0.07756803728758342,0.0001,0.0,1.0,1.0,train,pretrain
40.0,56.0,0.0,0.07952705161138014,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,57.0,0.0,0.07507522498804425,0.0001,0.0,1.0,1.0,train,pretrain
40.0,57.0,0.0,0.077684340829199,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,58.0,0.0,0.07386509518301676,0.0001,0.0,1.0,1.0,train,pretrain
40.0,58.0,0.0,0.07496661692857742,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,59.0,0.0,0.0714784428359024,0.0001,0.0,1.0,1.0,train,pretrain
40.0,59.0,0.0,0.07302283902059901,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,60.0,0.0,0.06828669523672452,0.0001,0.0,1.0,1.0,train,pretrain
40.0,60.0,0.0,0.06979542124000462,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,61.0,0.0,0.06631056018291957,0.0001,0.0,1.0,1.0,train,pretrain
40.0,61.0,0.0,0.06860517304052006,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,62.0,0.0,0.0640483010146353,0.0001,0.0,1.0,1.0,train,pretrain
40.0,62.0,0.0,0.06806570054455237,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,63.0,0.0,0.06186557507940701,0.0001,0.0,1.0,1.0,train,pretrain
40.0,63.0,0.0,0.06600058485161174,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,64.0,0.0,0.06046497543889379,0.0001,0.0,1.0,1.0,train,pretrain
40.0,64.0,0.0,0.06450118598612872,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,65.0,0.0,0.05941807218487301,0.0001,0.0,1.0,1.0,train,pretrain
40.0,65.0,0.0,0.06489464843815024,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,66.0,0.0,0.05835244816447061,0.0001,0.0,1.0,1.0,train,pretrain
40.0,66.0,0.0,0.06694748963822018,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,67.0,0.0,0.05684922446334173,0.0001,0.0,1.0,1.0,train,pretrain
40.0,67.0,0.0,0.06204015253619714,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,68.0,0.0,0.05475996765825483,0.0001,0.0,1.0,1.0,train,pretrain
40.0,68.0,0.0,0.05985406616872007,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,69.0,0.0,0.053258376048197824,0.0001,0.0,1.0,1.0,train,pretrain
40.0,69.0,0.0,0.057450143789703194,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,70.0,0.0,0.0517100744422466,0.0001,0.0,1.0,1.0,train,pretrain
40.0,70.0,0.0,0.05733280087059194,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,71.0,0.0,0.05056056492621937,0.0001,0.0,1.0,1.0,train,pretrain
40.0,71.0,0.0,0.055508880452676254,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,72.0,0.0,0.04920792733393018,0.0001,0.0,1.0,1.0,train,pretrain
40.0,72.0,0.0,0.054700635712255134,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,73.0,0.0,0.047868226433084124,0.0001,0.0,1.0,1.0,train,pretrain
40.0,73.0,0.0,0.05393462153998288,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,74.0,0.0,0.046707680892376674,0.0001,0.0,1.0,1.0,train,pretrain
40.0,74.0,0.0,0.05248627676205202,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,75.0,0.0,0.045928142787445156,0.0001,0.0,1.0,1.0,train,pretrain
40.0,75.0,0.0,0.05290233174508268,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,76.0,0.0,0.045141276149522694,0.0001,0.0,1.0,1.0,train,pretrain
40.0,76.0,0.0,0.051332501525228676,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,77.0,0.0,0.04524674302055722,0.0001,0.0,1.0,1.0,train,pretrain
40.0,77.0,0.0,0.05260578373616392,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,78.0,0.0,0.04332223877547279,0.0001,0.0,1.0,1.0,train,pretrain
40.0,78.0,0.0,0.05047814073887738,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,79.0,0.0,0.042060156426732505,0.0001,0.0,1.0,1.0,train,pretrain
40.0,79.0,0.0,0.049167995087125084,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,80.0,0.0,0.04114708700586879,0.0001,0.0,1.0,1.0,train,pretrain
40.0,80.0,0.0,0.049058929763057015,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,81.0,0.0,0.04010458562582258,0.0001,0.0,1.0,1.0,train,pretrain
40.0,81.0,0.0,0.04694869098338214,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,82.0,0.0,0.03924637784560522,0.0001,0.0,1.0,1.0,train,pretrain
40.0,82.0,0.0,0.04625804214314981,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,83.0,0.0,0.03829900565601531,0.0001,0.0,1.0,1.0,train,pretrain
40.0,83.0,0.0,0.0467873906547373,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,84.0,0.0,0.03746289354822938,0.0001,0.0,1.0,1.0,train,pretrain
40.0,84.0,0.0,0.04735656929287044,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,85.0,0.0,0.03658251180535271,0.0001,0.0,1.0,1.0,train,pretrain
40.0,85.0,0.0,0.04550635780800472,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,86.0,0.0,0.03583986862074761,0.0001,0.0,1.0,1.0,train,pretrain
40.0,86.0,0.0,0.04448389668356289,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,87.0,0.0,0.03612825147334545,0.0001,0.0,1.0,1.0,train,pretrain
40.0,87.0,0.0,0.04592237147417935,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,88.0,0.0,0.035467111431653535,0.0001,0.0,1.0,1.0,train,pretrain
40.0,88.0,0.0,0.044086984612725,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,89.0,0.0,0.03445495665073395,0.0001,0.0,1.0,1.0,train,pretrain
40.0,89.0,0.0,0.04452155530452728,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,90.0,0.0,0.03389581269215024,0.0001,0.0,1.0,1.0,train,pretrain
40.0,90.0,0.0,0.04558368873867122,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,91.0,0.0,0.03437561284573305,0.0001,0.0,1.0,1.0,train,pretrain
40.0,91.0,0.0,0.04524761675433679,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,92.0,0.0,0.03436925336127243,0.0001,0.0,1.0,1.0,train,pretrain
40.0,92.0,0.0,0.04589474167336117,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,93.0,0.0,0.03425678944895192,0.0001,0.0,1.0,1.0,train,pretrain
40.0,93.0,0.0,0.04457591744986447,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,94.0,0.0,0.0331437038996863,0.0001,0.0,1.0,1.0,train,pretrain
40.0,94.0,0.0,0.04446264796636321,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,95.0,0.0,0.03254203773325398,0.0001,0.0,1.0,1.0,train,pretrain
40.0,95.0,0.0,0.04411406679586931,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,96.0,0.0,0.03309451753184909,0.0001,0.0,1.0,1.0,train,pretrain
40.0,96.0,0.0,0.04231592809612101,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,97.0,0.0,0.031382006400870896,0.0001,0.0,1.0,1.0,train,pretrain
40.0,97.0,0.0,0.04257288405841047,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,98.0,0.0,0.030834168225290285,0.0001,0.0,1.0,1.0,train,pretrain
40.0,98.0,0.0,0.04188680716536262,0.0001,0.0,1.0,1.0,valid,pretrain
40.0,99.0,0.0,0.030100455537201868,0.0001,0.0,1.0,1.0,train,pretrain
40.0,99.0,0.0,0.039812289347702805,0.0001,0.0,1.0,1.0,valid,pretrain
