acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,model,prec,prec_labels,recall,recall_labels,train_mode
0.7109571788413098,"[0.743073047858942, 0.6788413098236776]",0.5802721704045931,0.0772489211263342,35.0,0.0,0.21913190054782933,"[0.19047619047619002, 0.2477876106194686]",0.6671149581670761,0.0001,Y_net,0.30328536519142,"[0.27586206896551724, 0.33070866141732286]",0.17178387650085764,"[0.14545454545454545, 0.19811320754716982]",valid
0.8138888888888889,"[0.7866666666666666, 0.8411111111111111]",0.5212089279705697,0.08329767569865998,36.0,0.0,0.549467402821928,"[0.44186046511627863, 0.6570743405275773]",0.44310327370961505,0.0001,Y_net,0.6803736263736264,"[0.608, 0.7527472527472527]",0.46500534343728744,"[0.3470319634703196, 0.5829787234042553]",train
0.6605793450881612,"[0.6133501259445844, 0.707808564231738]",0.5843406734434334,0.07602027592224044,36.0,0.0,0.24874141876430161,"[0.29748283752860366, 0.1999999999999996]",0.7625958323478699,0.0001,Y_net,0.305382730015083,"[0.23897058823529413, 0.3717948717948718]",0.2653659233847913,"[0.3939393939393939, 0.13679245283018868]",valid
0.8369444444444445,"[0.8127777777777778, 0.8611111111111112]",0.5175510588750156,0.08191800000941196,37.0,0.0,0.6065506121937285,"[0.5164992826398848, 0.6966019417475723]",0.4130799021985796,0.0001,Y_net,0.7528575791287656,"[0.694980694980695, 0.8107344632768362]",0.5107986009909647,"[0.410958904109589, 0.6106382978723405]",train
0.679471032745592,"[0.6574307304785895, 0.7015113350125944]",0.5878897207347971,0.07479334213329773,37.0,0.0,0.2849251010541328,"[0.2648648648648644, 0.3049853372434013]",0.7486012727022171,0.0001,Y_net,0.32106258271885046,"[0.23902439024390243, 0.40310077519379844]",0.2711263579188108,"[0.296969696969697, 0.24528301886792453]",valid
0.8458333333333333,"[0.8166666666666667, 0.875]",0.5134307228219814,0.08059108829300883,38.0,0.0,0.6348159247005818,"[0.5403899721448463, 0.7292418772563172]",0.387026392420133,0.0001,Y_net,0.7660961614562722,"[0.6928571428571428, 0.8393351800554016]",0.5438016127465267,"[0.4429223744292237, 0.6446808510638298]",train
0.6983627204030227,"[0.7052896725440806, 0.6914357682619647]",0.5910197267165551,0.07364660351035687,38.0,0.0,0.2549275362318836,"[0.21999999999999953, 0.2898550724637677]",0.7400304824113846,0.0001,Y_net,0.3101921470342523,"[0.24444444444444444, 0.37593984962406013]",0.2179245283018868,"[0.2, 0.2358490566037736]",valid
0.8658333333333333,"[0.8527777777777777, 0.8788888888888889]",0.5086754763022893,0.07932521427852206,39.0,0.0,0.6991428047550647,"[0.6517739816031531, 0.7465116279069763]",0.3531769889924261,0.0001,Y_net,0.7954393903310312,"[0.7678018575851393, 0.823076923076923]",0.6245943845331778,"[0.5662100456621004, 0.6829787234042554]",train
0.714735516372796,"[0.7141057934508817, 0.7153652392947103]",0.5954560682177543,0.0725711508304812,39.0,0.0,0.313419556044762,"[0.3420289855072459, 0.28481012658227806]",0.7991018742322922,0.0001,Y_net,0.3802350427350427,"[0.3277777777777778, 0.4326923076923077]",0.28491995425957695,"[0.3575757575757576, 0.21226415094339623]",valid
0.8533333333333333,"[0.8316666666666667, 0.875]",0.5045111767341935,0.0781132744312246,40.0,0.0,0.6743572841133811,"[0.6100386100386095, 0.7386759581881528]",0.3675748747256067,0.0001,Y_net,0.7562071384921802,"[0.6991150442477876, 0.8132992327365729]",0.608845817545905,"[0.541095890410959, 0.676595744680851]",train
