acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,prec,prec_labels,recall,recall_labels,train_mode,train_type
0.7424242424242424,"[0.8097643097643098, 0.6750841750841751]",0.5979799329406685,0.2667666451798545,5.0,0.0,0.3846647584352498,"[0.40211640211640165, 0.3672131147540979]",0.7805684089660645,0.0001,0.48479446308724833,"[0.59375, 0.37583892617449666]",0.3314871794871795,"[0.304, 0.358974358974359]",valid,ynet
0.92725,"[0.9335, 0.921]",0.2974455086461135,0.28465958810278347,6.0,0.0,0.854247950240316,"[0.8592592592592586, 0.8492366412213734]",0.36798708751797676,0.0001,0.860934718222616,"[0.8693790149892934, 0.8524904214559387]",0.8476899947499881,"[0.8493723849372385, 0.8460076045627376]",train,ynet
0.7474747474747474,"[0.8080808080808081, 0.6868686868686869]",0.5997020689504488,0.24866862034513837,6.0,0.0,0.4483108108108103,"[0.5249999999999995, 0.37162162162162116]",0.7501153548558553,0.0001,0.47034161490683224,"[0.5478260869565217, 0.39285714285714285]",0.4282820512820513,"[0.504, 0.3525641025641026]",valid,ynet
0.929,"[0.938, 0.92]",0.2874390257522464,0.2651707936357707,7.0,0.0,0.8570797762731817,"[0.8691983122362864, 0.8449612403100769]",0.34614287927746773,0.0001,0.8691279118661173,"[0.8765957446808511, 0.8616600790513834]",0.8454110122977552,"[0.8619246861924686, 0.8288973384030418]",train,ynet
0.7592592592592593,"[0.8215488215488216, 0.696969696969697]",0.6011748552943269,0.23223655922338365,7.0,0.0,0.4767686533212005,"[0.5267857142857136, 0.42675159235668736]",0.7286964933077494,0.0001,0.5100051144354941,"[0.5959595959595959, 0.4240506329113924]",0.45074358974358975,"[0.472, 0.42948717948717946]",valid,ynet
0.92675,"[0.928, 0.9255]",0.27846633343233,0.24813702545232244,8.0,0.0,0.8522497091769906,"[0.8487394957983186, 0.8557599225556626]",0.3185516752302647,0.0001,0.8620577734501785,"[0.8523206751054853, 0.8717948717948718]",0.8427462335141671,"[0.8451882845188284, 0.8403041825095057]",train,ynet
0.7491582491582491,"[0.797979797979798, 0.7003367003367004]",0.6026842554962194,0.21785607304837967,8.0,0.0,0.44404761904761847,"[0.5238095238095232, 0.3642857142857138]",0.7175716469685237,0.0001,0.465487680975362,"[0.5196850393700787, 0.4112903225806452]",0.42746153846153845,"[0.528, 0.3269230769230769]",valid,ynet
0.9315,"[0.9485, 0.9145]",0.2704845238998532,0.233140172123909,9.0,0.0,0.863009044580138,"[0.8912354804646245, 0.8347826086956516]",0.2968167302012443,0.0001,0.8742548833156698,"[0.8997867803837953, 0.8487229862475442]",0.8520689819749591,"[0.8828451882845189, 0.8212927756653993]",train,ynet
0.7592592592592593,"[0.8114478114478114, 0.7070707070707071]",0.6044750882685185,0.20519573065141836,9.0,0.0,0.46068376068376016,"[0.5213675213675207, 0.3999999999999995]",0.7118452340364456,0.0001,0.49623442420922903,"[0.5596330275229358, 0.43283582089552236]",0.4298974358974359,"[0.488, 0.3717948717948718]",valid,ynet
0.935,"[0.9515, 0.9185]",0.2638473565537821,0.21984204778617078,10.0,0.0,0.8678327757435257,"[0.896256684491978, 0.8394088669950733]",0.28433648735284806,0.0001,0.8940073297445329,"[0.9168490153172867, 0.8711656441717791]",0.8432274846079195,"[0.8765690376569037, 0.8098859315589354]",train,ynet
0.7516835016835017,"[0.7744107744107744, 0.7289562289562289]",0.6044244944597735,0.1939789113899072,10.0,0.0,0.48262108262108205,"[0.5037037037037031, 0.461538461538461]",0.6857292781273524,0.0001,0.47574149987943093,"[0.4689655172413793, 0.4825174825174825]",0.49315384615384616,"[0.544, 0.4423076923076923]",valid,ynet
