mask_use,freeze_mode,lr,exp,cell_size,prob,train_mode,epoch,loss,prec,recall,acc,f1
True,False,0.0001,0,28,0.2,train,8,0.485514372587204,0.7466940934469586,0.9654255319148937,0.7922842197035745,0.8420878210439106
True,False,0.0001,0,28,0.2,valid,8,0.7276942133903503,0.6787330316742082,0.8547008547008547,0.6783333333333333,0.7566204287515763
True,False,0.0001,0,28,0.2,train,9,0.48001572489738464,0.7495611468695144,0.973404255319149,0.7981691368788143,0.8469421487603306
True,False,0.0001,0,28,0.2,valid,9,0.8975143432617188,0.6869158878504673,0.8376068376068376,0.6816666666666666,0.7548138639281129
True,False,0.0001,0,28,0.2,train,10,0.4022882282733917,0.754585152838428,0.9848024316109423,0.807541412380122,0.8544585462337235
True,False,0.0001,0,28,0.2,valid,10,0.6978721618652344,0.687041564792176,0.8005698005698005,0.67,0.7394736842105264
True,False,0.0001,0,28,0.2,train,11,0.44556280970573425,0.7628865979381443,0.9840425531914894,0.815387968613775,0.859465737514518
True,False,0.0001,0,28,0.2,valid,11,0.9069811701774597,0.6791569086651054,0.8262108262108262,0.67,0.7455012853470437
True,False,0.0001,0,28,0.2,train,12,0.42456549406051636,0.7642372381233402,0.9840425531914894,0.8166957279860506,0.8603222056136854
True,False,0.0001,0,28,0.2,valid,12,0.944861888885498,0.6792452830188679,0.8205128205128205,0.6683333333333333,0.7432258064516128
True,False,0.0001,0,28,0.2,train,13,0.41841399669647217,0.7605140186915887,0.9893617021276596,0.8151700087183958,0.8599735799207398
True,False,0.0001,0,28,0.2,valid,13,0.9132323265075684,0.691747572815534,0.811965811965812,0.6783333333333333,0.747051114023591
True,False,0.0001,0,28,0.2,train,14,0.42620187997817993,0.7612638970157987,0.9886018237082067,0.8156059285091544,0.8601652892561984
True,False,0.0001,0,28,0.2,valid,14,0.6875059604644775,0.6755447941888619,0.7948717948717948,0.6566666666666666,0.7303664921465968
True,False,0.0001,0,28,0.2,train,15,0.4136461019515991,0.7642752562225475,0.9916413373860182,0.81974716652136,0.8632379692409459
True,False,0.0001,0,28,0.2,valid,15,0.8959832787513733,0.6898263027295285,0.792022792022792,0.67,0.7374005305039787
True,False,0.0001,0,28,0.2,train,16,0.421705424785614,0.7702303603071471,0.9908814589665653,0.8251961639058413,0.8667331339315386
True,False,0.0001,0,28,0.2,valid,16,1.014407992362976,0.691358024691358,0.7977207977207977,0.6733333333333333,0.7407407407407407
True,False,0.0001,0,28,0.2,train,17,0.3859209716320038,0.7663139329805997,0.9905015197568389,0.8212728857890148,0.8641034139874048
True,False,0.0001,0,28,0.2,valid,17,0.9329566955566406,0.687192118226601,0.7948717948717948,0.6683333333333333,0.7371202113606342
True,False,0.0001,0,28,0.2,train,18,0.37725314497947693,0.7697290930506479,0.993161094224924,0.8256320836965998,0.8672859986728599
True,False,0.0001,0,28,0.2,valid,18,0.9090263247489929,0.6919191919191919,0.7806267806267806,0.6683333333333333,0.7336010709504686
True,False,0.0001,0,28,0.2,train,19,0.39791110157966614,0.7719350073855243,0.9927811550151976,0.8275937227550131,0.8685391391058668
True,False,0.0001,0,28,0.2,valid,19,0.8623255491256714,0.6887254901960784,0.8005698005698005,0.6716666666666666,0.7404479578392622
True,False,0.0001,0,28,0.2,train,20,0.4264448583126068,0.7727677247107683,0.9897416413373861,0.8271578029642546,0.8678993836415125
True,False,0.0001,0,28,0.2,valid,20,1.1011369228363037,0.6852300242130751,0.8062678062678063,0.67,0.7408376963350786
True,False,0.0001,0,28,0.2,train,21,0.3855324387550354,0.7727943346119799,0.9950607902735562,0.8293374019180471,0.8699551569506726
True,False,0.0001,0,28,0.2,valid,21,0.9342703223228455,0.6959798994974874,0.7891737891737892,0.675,0.7396528704939919
True,False,0.0001,0,28,0.2,train,22,0.40805014967918396,0.7728080568720379,0.9912613981762918,0.8278116826503923,0.868508655126498
True,False,0.0001,0,28,0.2,valid,22,1.3401821851730347,0.6936274509803921,0.8062678062678063,0.6783333333333333,0.7457180500658762
True,False,0.0001,0,28,0.2,train,23,0.39246147871017456,0.7731192387749034,0.9878419452887538,0.826721883173496,0.8673894912427023
True,False,0.0001,0,28,0.2,valid,23,0.9632253050804138,0.698019801980198,0.8034188034188035,0.6816666666666666,0.7470198675496689
