acc,acc_labels,aux,aux_batch,bce_loss,cell,cell_size,epoch,exp,f1,f1_labels,freeze_mode,loss,lr,mask_use,prec,prec_labels,prob,recall,recall_labels,std_loss,train_mode
0.5433740191804708,"[0.6072362685265911, 0.47951176983435045]",0.0,4.0,8.533105627350185,0.0,[56],5.0,0.0,0.3765497234987199,"[0.30638953040800565, 0.44670991658943415]",0.0,8.533105627350185,0.1,0.0,0.4413668936185421,"[0.28840579710144926, 0.594327990135635]",0.1,0.3422987042908708,"[0.32676518883415434, 0.3578322197475872]",0.0,train
0.41500000000000004,"[0.24333333333333335, 0.5866666666666667]",0.0,4.0,21.02157211303711,0.0,[56],5.0,0.0,0.5654583549237385,"[0.3914209115281498, 0.7394957983193272]",0.0,21.02157211303711,0.1,0.0,0.41500000000000004,"[0.24333333333333335, 0.5866666666666667]",0.1,1.0,"[1.0, 1.0]",0.0,valid
0.5313862249346121,"[0.5762859633827376, 0.4864864864864865]",0.0,4.0,8.519118754760079,0.0,[56],6.0,0.0,0.3920391328397632,"[0.3067047075606272, 0.4773735581188993]",0.0,8.519118754760079,0.1,0.0,0.432143299070839,"[0.27112232030264816, 0.5931642778390298]",0.1,0.3762219272164745,"[0.3530377668308703, 0.3994060876020787]",0.0,train
0.585,"[0.7566666666666667, 0.41333333333333333]",0.0,4.0,15.730061213175455,0.0,[56],6.0,0.0,0.0,"[0.0, 0.0]",0.0,15.730061213175455,0.1,0.0,0.0,"[0.0, 0.0]",0.1,0.0,"[0.0, 0.0]",0.0,valid
0.5494768962510898,"[0.6028770706190061, 0.4960767218831735]",0.0,4.0,8.562036586844403,0.0,[56],7.0,0.0,0.37233555931789686,"[0.2764098490865761, 0.4682612695492176]",0.0,8.562036586844403,0.1,0.0,0.4415849688401079,"[0.2676923076923077, 0.6154776299879081]",0.1,0.3317955244458585,"[0.2857142857142857, 0.37787676317743135]",0.0,train
0.585,"[0.7566666666666667, 0.41333333333333333]",0.0,4.0,5.666450500488281,0.0,[56],7.0,0.0,0.0,"[0.0, 0.0]",0.0,5.666450500488281,0.1,0.0,0.0,"[0.0, 0.0]",0.1,0.0,"[0.0, 0.0]",0.0,valid
0.5383609415867481,"[0.5889276373147341, 0.48779424585876197]",0.0,4.0,8.350920345472252,0.0,[56],8.0,0.0,0.36539689120945773,"[0.279602750190985, 0.4511910322279304]",0.0,8.350920345472252,0.1,0.0,0.43487045699892046,"[0.26142857142857145, 0.6083123425692695]",0.1,0.32953361054121366,"[0.30049261083743845, 0.3585746102449889]",0.0,train
0.6716666666666666,"[0.7566666666666667, 0.5866666666666667]",0.0,4.0,4.9440609614054365,0.0,[56],8.0,0.0,0.3697478991596636,"[0.0, 0.7394957983193272]",0.0,4.9440609614054365,0.1,0.0,0.29333333333333333,"[0.0, 0.5866666666666667]",0.1,0.5,"[0.0, 1.0]",0.0,valid
0.533129904097646,"[0.588055797733217, 0.478204010462075]",0.0,4.0,8.075497202251269,0.0,[56],9.0,0.0,0.3692558392178159,"[0.2813688212927752, 0.4571428571428567]",0.0,8.075497202251269,0.1,0.0,0.4247261237346223,"[0.26203966005665724, 0.5874125874125874]",0.1,0.3389707468887255,"[0.30377668308702793, 0.3741648106904232]",0.0,train
0.5316666666666667,"[0.5566666666666666, 0.5066666666666667]",0.0,4.0,1.5139601230621338,0.0,[56],9.0,0.0,0.33286694349160456,"[0.3036649214659681, 0.36206896551724105]",0.0,1.5139601230621338,0.1,0.0,0.4978813559322034,"[0.2457627118644068, 0.75]",0.1,0.31794831880448315,"[0.3972602739726027, 0.23863636363636365]",0.0,valid
0.5479511769834351,"[0.6059285091543156, 0.4899738448125545]",0.0,4.0,7.928348473880602,0.0,[56],10.0,0.0,0.372185970160568,"[0.27910685805422597, 0.46526508226690994]",0.0,7.928348473880602,0.1,0.0,0.43827484814128626,"[0.2713178294573643, 0.6052318668252081]",0.1,0.3326165425082559,"[0.28735632183908044, 0.37787676317743135]",0.0,train
0.41333333333333333,"[0.24333333333333335, 0.5833333333333334]",0.0,4.0,10.236348152160645,0.0,[56],10.0,0.0,0.5113446740531601,"[0.3914209115281498, 0.6312684365781704]",0.0,10.236348152160645,0.1,0.0,0.4498875255623722,"[0.24333333333333335, 0.656441717791411]",0.1,0.8039772727272727,"[1.0, 0.6079545454545454]",0.0,valid
0.5368352223190933,"[0.5945945945945946, 0.479075850043592]",0.0,4.0,7.788686804149462,0.0,[56],11.0,0.0,0.3813100717476643,"[0.2996987951807224, 0.46292134831460624]",0.0,7.788686804149462,0.1,0.0,0.43166683035473846,"[0.2767732962447844, 0.5865603644646925]",0.1,0.35454814749799773,"[0.32676518883415434, 0.3823311061618411]",0.0,train
