epoch,exp,loss,lr,metric,train_mode,train_type
37.0,0.0,0.11205167013406754,0.0001,0.7505902416491388,train,ynet
37.0,0.0,0.13817513872075965,0.0001,0.6527857970475284,valid,ynet
38.0,0.0,0.11065813571214676,0.0001,0.7552010751214839,train,ynet
38.0,0.0,0.13415665648601674,0.0001,0.6830643792169345,valid,ynet
39.0,0.0,0.10876637295881907,0.0001,0.7616164236397877,train,ynet
39.0,0.0,0.13467557700695815,0.0001,0.6719724097140161,valid,ynet
40.0,0.0,0.10646575709184011,0.0001,0.769971798617174,train,ynet
40.0,0.0,0.13296085375326652,0.0001,0.6876530978953581,valid,ynet
41.0,0.0,0.10507253342866897,0.0001,0.7755223120383323,train,ynet
41.0,0.0,0.13265155462755096,0.0001,0.6871096903510532,valid,ynet
