acc,acc_labels,bce_loss,cell,cell_size,epoch,exp,f1,f1_labels,loss,lr,model,pair,pair_loss,prec,prec_labels,prob,recall,recall_labels,train_mode
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.568594813346863,0.0,[56],79.0,0.0,0.0,"[0.0, 0.0]",2.568594813346863,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.09091999439729584,0.0,[56],80.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.21642819996923207,0.0001,vgg16,1.0,0.12550820582028893,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.4300572276115417,0.0,[56],80.0,0.0,0.0,"[0.0, 0.0]",2.4300572276115417,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.08992710889627537,0.0,[56],81.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.21555695322652657,0.0001,vgg16,1.0,0.12562984431990318,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.491600424051285,0.0,[56],81.0,0.0,0.0,"[0.0, 0.0]",2.491600424051285,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.09113892070753435,0.0,[56],82.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.2166803080906296,0.0001,vgg16,1.0,0.12554138697954081,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.5331792533397675,0.0,[56],82.0,0.0,0.0,"[0.0, 0.0]",2.5331792533397675,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9994444444444445,"[0.9994444444444445, 0.9994444444444445]",0.09114794631281661,0.0,[56],83.0,0.0,0.9988960900654187,"[0.9988571428571423, 0.9989350372736949]",0.21673668664362694,0.0001,vgg16,1.0,0.12558873949779403,1.0,"[1.0, 1.0]",[0.1],0.9977946177013505,"[0.997716894977169, 0.997872340425532]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.5770949721336365,0.0,[56],83.0,0.0,0.0,"[0.0, 0.0]",2.5770949721336365,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.09133300427492941,0.0,[56],84.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.21685857179852772,0.0001,vgg16,1.0,0.12552556779259716,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.6484981179237366,0.0,[56],84.0,0.0,0.0,"[0.0, 0.0]",2.6484981179237366,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.09100621422338817,0.0,[56],85.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.21645038719806406,0.0001,vgg16,1.0,0.12544417285049955,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.680264323949814,0.0,[56],85.0,0.0,0.0,"[0.0, 0.0]",2.680264323949814,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.0903920449833903,0.0,[56],86.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.21621580452968678,0.0001,vgg16,1.0,0.12582376056040326,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.70047989487648,0.0,[56],86.0,0.0,0.0,"[0.0, 0.0]",2.70047989487648,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.0909632839347776,0.0,[56],87.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.2164764865624521,0.0001,vgg16,1.0,0.12551320242586922,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",6.4801231026649475,0.0,[56],87.0,0.0,0.0,"[0.0, 0.0]",6.4801231026649475,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9994444444444445,"[0.9988888888888889, 1.0]",0.09462380464085274,0.0,[56],88.0,0.0,0.9988558352402741,"[0.9977116704805487, 0.9999999999999996]",0.22055898354285294,0.0001,vgg16,1.0,0.12593517906756865,1.0,"[1.0, 1.0]",[0.1],0.9977168949771689,"[0.9954337899543378, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.5990282893180847,0.0,[56],88.0,0.0,0.0,"[0.0, 0.0]",2.5990282893180847,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9991666666666668,"[0.9988888888888889, 0.9994444444444445]",0.09240520678253637,0.0,[56],89.0,0.0,0.9983233538771218,"[0.9977116704805487, 0.9989350372736949]",0.21792265553441312,0.0001,vgg16,1.0,0.12551744922788607,1.0,"[1.0, 1.0]",[0.1],0.9966530651899349,"[0.9954337899543378, 0.997872340425532]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.8781054615974426,0.0,[56],89.0,0.0,0.0,"[0.0, 0.0]",2.8781054615974426,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.09313647296486628,0.0,[56],90.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.21885008861207317,0.0001,vgg16,1.0,0.12571361475727644,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",6.490592956542969,0.0,[56],90.0,0.0,0.0,"[0.0, 0.0]",6.490592956542969,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9991666666666668,"[0.9988888888888889, 0.9994444444444445]",0.09279913047534447,0.0,[56],91.0,0.0,0.9983233538771218,"[0.9977116704805487, 0.9989350372736949]",0.2181582660717039,0.0001,vgg16,1.0,0.12535913557565234,1.0,"[1.0, 1.0]",[0.1],0.9966530651899349,"[0.9954337899543378, 0.997872340425532]",train
0.7625944584382871,"[0.792191435768262, 0.7329974811083123]",2.1500080972909927,0.0,[56],91.0,0.0,0.0,"[0.0, 0.0]",2.1500080972909927,0.0001,vgg16,1.0,0.0,0.0,"[0.0, 0.0]",[0.1],0.0,"[0.0, 0.0]",valid
0.9997222222222222,"[0.9994444444444445, 1.0]",0.091582753149027,0.0,[56],92.0,0.0,0.9994285714285709,"[0.9988571428571423, 0.9999999999999996]",0.2167188373656245,0.0001,vgg16,1.0,0.1251360838956316,1.0,"[1.0, 1.0]",[0.1],0.9988584474885844,"[0.997716894977169, 1.0]",train
